TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2017-00061,14447673,2016-10-12,9119931
IPR2017-00008,12482892,2016-10-12,8233471
IPR2017-00063,13910364,2016-10-12,9074027
IPR2017-00091,29355536,2016-10-14,D621645
IPR2017-00097,14302065,2016-10-14,8892465
IPR2017-00083,10782224,2016-10-14,7197297
IPR2017-00092,14230733,2016-10-14,9124717
IPR2017-00073,10417596,2016-10-14,7196611
IPR2017-00089,14230857,2016-10-14,9118693
IPR2017-00094,29344245,2016-10-14,D612646
IPR2017-00054,12827521,2016-10-14,8236504
IPR2017-00087,11164784,2016-10-14,8827111
IPR2017-00088,14230823,2016-10-14,9124718
IPR2017-00096,29332015,2016-10-14,D595074
IPR2017-00055,12827521,2016-10-14,8236504
IPR2017-00068,12303947,2016-10-14,8218481
IPR2017-00095,29355535,2016-10-14,D621644
IPR2017-00106,12303947,2016-10-18,8218481
IPR2017-00099,14350013,2016-10-18,8917772
IPR2017-00100,14350013,2016-10-18,8917772
IPR2017-00109,14053190,2016-10-19,RE45725
IPR2017-00115,13405797,2016-10-20,9216025
IPR2017-00124,14333005,2016-10-21,9231853
IPR2017-00114,10857596,2016-10-21,7206978
IPR2017-00122,14747002,2016-10-21,9444868
IPR2017-00125,12967974,2016-10-24,9345285
IPR2017-00127,14937640,2016-10-24,9339079
IPR2017-00116,11002148,2016-10-24,7334150
IPR2017-00118,13311735,2016-10-25,9182027
IPR2017-00137,14141840,2016-10-25,9089770
IPR2017-00136,13162727,2016-10-25,8641525
IPR2017-00126,10717263,2016-10-25,7161319
IPR2017-00117,09423284,2016-10-25,6700602
IPR2017-00135,13328171,2016-10-27,8974371
IPR2017-00132,13863494,2016-10-27,8685048
IPR2017-00133,13864426,2016-10-27,8709027
IPR2017-00134,13864426,2016-10-27,8709027
IPR2017-00164,13995102,2016-10-31,9162958
IPR2017-00166,14378049,2016-10-31,9006483
IPR2017-00171,09644928,2016-10-31,6278653
IPR2017-00170,09184975,2016-10-31,6043699
